Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2023-000023,2023-01-22,2023-01-23,Second Class,CUS-0011,Customer 79,Consumer,Birmingham,Alabama,South,PROD-0023,Office Supplies,Binders,Report Cover,711.54,6,0.0,81.75
CA-2023-000024,2023-06-25,2023-07-01,Same Day,CUS-0046,Customer 106,Corporate,Philadelphia,Pennsylvania,East,PROD-0024,Technology,Phones,OnePlus,5039.21,3,0.1,1674.54
CA-2022-000025,2022-02-22,2022-03-01,Standard Class,CUS-0118,Customer 90,Consumer,Biloxi,Mississippi,South,PROD-0025,Furniture,Tables,Study Desk,1171.83,1,0.1,-0.25
CA-2020-000026,2020-05-22,2020-05-29,First Class,CUS-0138,Customer 85,Corporate,Spokane,Washington,West,PROD-0026,Technology,Accessories,Keyboard,2496.19,5,0.4,598.48
CA-2021-000027,2021-12-08,2021-12-14,Same Day,CUS-0148,Customer 49,Consumer,Miami,Florida,East,PROD-0027,Furniture,Chairs,Gaming Chair,4265.71,6,0.0,395.0
CA-2023-000028,2023-09-22,2023-09-25,Standard Class,CUS-0077,Customer 130,Corporate,Spokane,Washington,West,PROD-0028,Technology,Phones,Motorola,7650.48,10,0.0,1988.18
CA-2023-000029,2023-09-23,2023-09-27,Same Day,CUS-0001,Customer 78,Consumer,New Orleans,Louisiana,South,PROD-0029,Technology,Copiers,HP Printer,3139.02,3,0.2,323.44
CA-2022-000030,2022-11-12,2022-11-16,Second Class,CUS-0163,Customer 159,Corporate,Grand Rapids,Michigan,Central,PROD-0030,Technology,Accessories,Webcam,3326.24,3,0.2,524.63
CA-2020-000031,2020-04-04,2020-04-06,Standard Class,CUS-0162,Customer 148,Consumer,Chicago,Illinois,Central,PROD-0031,Technology,Phones,iPhone 14,10402.35,8,0.0,1328.46
CA-2020-000032,2020-08-06,2020-08-13,Standard Class,CUS-0064,Customer 32,Home Office,Jackson,Mississippi,South,PROD-0032,Furniture,Furnishings,Clock,1422.32,7,0.5,-106.52
CA-2020-000033,2020-11-21,2020-11-27,Same Day,CUS-0071,Customer 197,Home Office,Grand Rapids,Michigan,Central,PROD-0033,Technology,Accessories,Webcam,7272.9,8,0.1,2326.83
CA-2021-000034,2021-04-25,2021-04-28,First Class,CUS-0060,Customer 99,Consumer,Orlando,Florida,East,PROD-0034,Office Supplies,Binders,Report Cover,404.06,6,0.0,-12.45
CA-2023-000035,2023-01-16,2023-01-20,First Class,CUS-0198,Customer 150,Corporate,Buffalo,New York,East,PROD-0035,Office Supplies,Storage,Drawer Organizer,72.0,7,0.4,6.82
CA-2022-000036,2022-03-09,2022-03-16,First Class,CUS-0070,Customer 112,Corporate,Nashville,Tennessee,South,PROD-0036,Office Supplies,Labels,File Labels,692.7,7,0.1,99.83
CA-2023-000037,2023-06-28,2023-07-03,Second Class,CUS-0110,Customer 35,Corporate,Detroit,Michigan,Central,PROD-0037,Technology,Phones,Motorola,1832.47,1,0.0,-106.33
CA-2021-000038,2021-10-31,2021-11-03,Same Day,CUS-0021,Customer 121,Consumer,Grand Rapids,Michigan,Central,PROD-0038,Technology,Accessories,Mouse,2943.62,7,0.4,76.93
CA-2021-000039,2021-05-21,2021-05-23,Standard Class,CUS-0172,Customer 30,Consumer,Albany,New York,East,PROD-0039,Furniture,Chairs,Gaming Chair,872.88,1,0.1,-32.2
CA-2020-000040,2020-12-01,2020-12-04,Standard Class,CUS-0097,Customer 102,Home Office,Columbus,Ohio,Central,PROD-0040,Office Supplies,Storage,Filing Cabinet,188.55,2,0.2,35.43
CA-2023-000041,2023-03-05,2023-03-12,Standard Class,CUS-0018,Customer 130,Corporate,Albany,New York,East,PROD-0041,Office Supplies,Storage,Storage Box,43.62,1,0.4,10.07
CA-2023-000042,2023-07-25,2023-08-01,First Class,CUS-0134,Customer 167,Corporate,Nashville,Tennessee,South,PROD-0042,Office Supplies,Art,Markers,686.04,8,0.4,-8.19
CA-2021-000043,2021-07-25,2021-07-29,Standard Class,CUS-0127,Customer 84,Consumer,Baton Rouge,Louisiana,South,PROD-0043,Technology,Copiers,HP Printer,3722.06,4,0.4,253.84
CA-2023-000044,2023-02-12,2023-02-13,First Class,CUS-0105,Customer 126,Corporate,Cleveland,Ohio,Central,PROD-0044,Furniture,Furnishings,Curtains,12845.59,9,0.0,265.62
CA-2021-000045,2021-08-25,2021-08-27,Standard Class,CUS-0095,Customer 122,Consumer,Memphis,Tennessee,South,PROD-0045,Office Supplies,Storage,Drawer Organizer,783.43,7,0.2,181.74
CA-2021-000046,2021-07-08,2021-07-11,Same Day,CUS-0191,Customer 138,Home Office,Baton Rouge,Louisiana,South,PROD-0046,Office Supplies,Paper,Graph Paper,224.8,5,0.1,12.99
CA-2020-000047,2020-07-24,2020-07-31,First Class,CUS-0004,Customer 182,Home Office,Savannah,Georgia,East,PROD-0047,Office Supplies,Storage,Storage Box,175.75,4,0.3,-1.81
CA-2023-000048,2023-07-30,2023-08-06,Second Class,CUS-0121,Customer 123,Corporate,San Diego,California,West,PROD-0048,Office Supplies,Storage,Filing Cabinet,200.04,8,0.0,37.41
CA-2022-000049,2022-03-31,2022-04-04,Standard Class,CUS-0145,Customer 78,Consumer,Eugene,Oregon,West,PROD-0049,Technology,Machines,Dell Desktop,2477.28,2,0.0,-59.79
CA-2021-000050,2021-08-31,2021-09-07,Same Day,CUS-0016,Customer 157,Corporate,Biloxi,Mississippi,South,PROD-0050,Furniture,Tables,Conference Table,11888.35,10,0.2,2191.2
CA-2021-000051,2021-05-06,2021-05-08,Second Class,CUS-0177,Customer 153,Consumer,Tampa,Florida,East,PROD-0051,Office Supplies,Labels,Address Labels,176.74,9,0.0,18.43
CA-2020-000052,2020-05-25,2020-05-31,Same Day,CUS-0140,Customer 58,Corporate,Tampa,Florida,East,PROD-0052,Technology,Machines,HP Laptop,6706.94,4,0.1,755.0
CA-2023-000053,2023-05-03,2023-05-09,First Class,CUS-0177,Customer 78,Consumer,New York City,New York,East,PROD-0053,Office Supplies,Storage,Filing Cabinet,923.16,10,0.5,-34.92
CA-2022-000054,2022-06-03,2022-06-09,Standard Class,CUS-0173,Customer 148,Home Office,Nashville,Tennessee,South,PROD-0054,Office Supplies,Binders,Presentation Binder,736.34,6,0.0,-40.01
CA-2021-000055,2021-07-23,2021-07-25,Same Day,CUS-0121,Customer 90,Corporate,Houston,Texas,Central,PROD-0055,Office Supplies,Labels,File Labels,449.99,10,0.5,173.03
CA-2021-000056,2021-08-13,2021-08-19,Same Day,CUS-0081,Customer 65,Corporate,Spokane,Washington,West,PROD-0056,Technology,Machines,Lenovo ThinkPad,11650.93,7,0.0,1484.48
CA-2022-000057,2022-11-27,2022-11-30,Second Class,CUS-0053,Customer 69,Consumer,Reno,Nevada,West,PROD-0057,Technology,Phones,Motorola,7807.99,10,0.5,2186.2
CA-2023-000058,2023-12-24,2023-12-26,Second Class,CUS-0030,Customer 119,Consumer,Nashville,Tennessee,South,PROD-0058,Office Supplies,Storage,Filing Cabinet,337.24,5,0.4,-18.01
CA-2021-000059,2021-05-14,2021-05-18,Same Day,CUS-0131,Customer 192,Corporate,Cleveland,Ohio,Central,PROD-0059,Furniture,Tables,Side Table,2450.24,9,0.1,884.38
CA-2021-000060,2021-09-03,2021-09-10,First Class,CUS-0115,Customer 138,Consumer,Baton Rouge,Louisiana,South,PROD-0060,Furniture,Chairs,Gaming Chair,4559.46,10,0.5,1516.61
CA-2023-000061,2023-03-17,2023-03-21,Second Class,CUS-0191,Customer 122,Consumer,Memphis,Tennessee,South,PROD-0061,Technology,Machines,Lenovo ThinkPad,4177.98,4,0.4,-326.62
CA-2020-000062,2020-07-24,2020-07-31,First Class,CUS-0037,Customer 105,Consumer,Atlanta,Georgia,East,PROD-0062,Office Supplies,Binders,Presentation Binder,97.78,8,0.5,-9.03
CA-2023-000063,2023-08-23,2023-08-24,Same Day,CUS-0161,Customer 184,Home Office,Baton Rouge,Louisiana,South,PROD-0063,Office Supplies,Storage,Storage Box,616.34,6,0.4,232.4
CA-2022-000064,2022-06-07,2022-06-08,Standard Class,CUS-0012,Customer 84,Home Office,Miami,Florida,East,PROD-0064,Technology,Phones,Samsung Galaxy,1597.79,2,0.2,561.96
CA-2023-000065,2023-03-05,2023-03-11,Same Day,CUS-0098,Customer 159,Consumer,Detroit,Michigan,Central,PROD-0065,Furniture,Bookcases,3-Shelf Bookcase,1013.93,3,0.0,207.6
CA-2022-000066,2022-07-30,2022-08-02,First Class,CUS-0174,Customer 140,Home Office,Pittsburgh,Pennsylvania,East,PROD-0066,Office Supplies,Storage,Filing Cabinet,90.14,1,0.5,31.6
CA-2022-000067,2022-07-24,2022-07-31,First Class,CUS-0028,Customer 61,Home Office,Cleveland,Ohio,Central,PROD-0067,Furniture,Chairs,Visitor Chair,1136.71,5,0.4,371.33
CA-2020-000068,2020-01-17,2020-01-22,First Class,CUS-0074,Customer 199,Corporate,Austin,Texas,Central,PROD-0068,Technology,Machines,Lenovo ThinkPad,919.56,1,0.5,290.97
CA-2023-000069,2023-07-10,2023-07-11,Second Class,CUS-0094,Customer 188,Home Office,Tampa,Florida,East,PROD-0069,Furniture,Bookcases,5-Shelf Bookcase,266.25,1,0.5,-22.18
CA-2023-000070,2023-01-09,2023-01-12,Second Class,CUS-0066,Customer 124,Consumer,Detroit,Michigan,Central,PROD-0070,Furniture,Chairs,Gaming Chair,5778.09,9,0.2,1821.46
CA-2023-000071,2023-02-15,2023-02-18,Same Day,CUS-0032,Customer 117,Consumer,Birmingham,Alabama,South,PROD-0071,Technology,Machines,HP Laptop,3246.46,2,0.0,104.63
CA-2020-000072,2020-02-21,2020-02-26,Same Day,CUS-0163,Customer 119,Consumer,Austin,Texas,Central,PROD-0072,Technology,Machines,MacBook,6402.33,9,0.1,1433.01
CA-2022-000073,2022-10-05,2022-10-06,First Class,CUS-0095,Customer 172,Consumer,Seattle,Washington,West,PROD-0073,Office Supplies,Art,Sketch Pad,101.57,2,0.0,9.58
CA-2021-000074,2021-07-26,2021-07-27,Same Day,CUS-0093,Customer 26,Corporate,Atlanta,Georgia,East,PROD-0074,Office Supplies,Fasteners,Rubber Bands,142.1,6,0.5,53.33
CA-2022-000075,2022-07-20,2022-07-21,Standard Class,CUS-0086,Customer 63,Consumer,Reno,Nevada,West,PROD-0075,Office Supplies,Art,Paint Set,520.53,4,0.0,-38.89
CA-2023-000076,2023-05-05,2023-05-06,Second Class,CUS-0139,Customer 65,Corporate,Philadelphia,Pennsylvania,East,PROD-0076,Furniture,Tables,Conference Table,6508.84,5,0.0,2562.94
CA-2020-000077,2020-02-02,2020-02-04,First Class,CUS-0191,Customer 17,Consumer,Buffalo,New York,East,PROD-0077,Furniture,Chairs,Office Chair Pro,520.08,5,0.4,84.8
CA-2023-000078,2023-09-11,2023-09-16,Standard Class,CUS-0123,Customer 103,Home Office,Las Vegas,Nevada,West,PROD-0078,Technology,Copiers,HP Printer,5122.38,5,0.0,-356.45
CA-2020-000079,2020-05-14,2020-05-16,Second Class,CUS-0153,Customer 136,Corporate,Birmingham,Alabama,South,PROD-0079,Technology,Phones,Motorola,4633.2,5,0.3,419.08
CA-2022-000080,2022-05-30,2022-06-03,Second Class,CUS-0187,Customer 25,Home Office,Birmingham,Alabama,South,PROD-0080,Technology,Copiers,Xerox Machine,1889.73,4,0.5,187.77
CA-2020-000081,2020-05-17,2020-05-18,Same Day,CUS-0096,Customer 34,Home Office,Columbus,Ohio,Central,PROD-0081,Technology,Copiers,HP Printer,735.63,2,0.0,200.31
CA-2020-000082,2020-04-15,2020-04-18,Same Day,CUS-0055,Customer 40,Corporate,Dallas,Texas,Central,PROD-0082,Office Supplies,Labels,File Labels,659.28,10,0.0,124.58
CA-2023-000083,2023-03-21,2023-03-23,First Class,CUS-0169,Customer 178,Consumer,Eugene,Oregon,West,PROD-0083,Office Supplies,Binders,3-Ring Binder,1188.64,7,0.0,243.07
CA-2021-000084,2021-01-06,2021-01-13,Standard Class,CUS-0190,Customer 163,Corporate,Cleveland,Ohio,Central,PROD-0084,Technology,Phones,iPhone 14,2194.88,3,0.4,-143.12
CA-2022-000085,2022-01-27,2022-01-30,Second Class,CUS-0040,Customer 41,Corporate,Memphis,Tennessee,South,PROD-0085,Furniture,Chairs,Executive Chair,7125.42,6,0.0,2434.55
CA-2022-000086,2022-09-21,2022-09-26,Same Day,CUS-0030,Customer 89,Home Office,Eugene,Oregon,West,PROD-0086,Office Supplies,Labels,File Labels,617.51,8,0.1,171.34
CA-2023-000087,2023-05-12,2023-05-13,Same Day,CUS-0196,Customer 66,Consumer,New Orleans,Louisiana,South,PROD-0087,Technology,Phones,OnePlus,511.17,1,0.1,145.01
CA-2022-000088,2022-02-17,2022-02-22,Second Class,CUS-0190,Customer 11,Consumer,Reno,Nevada,West,PROD-0088,Technology,Machines,HP Laptop,3081.32,4,0.3,-197.09
CA-2023-000089,2023-12-24,2023-12-30,Same Day,CUS-0084,Customer 44,Home Office,Eugene,Oregon,West,PROD-0089,Technology,Phones,Motorola,3028.73,7,0.4,-271.29
CA-2022-000090,2022-06-11,2022-06-16,Second Class,CUS-0191,Customer 87,Consumer,Dallas,Texas,Central,PROD-0090,Office Supplies,Binders,Report Cover,450.13,7,0.4,150.91
CA-2021-000091,2021-12-16,2021-12-19,Second Class,CUS-0045,Customer 155,Home Office,San Diego,California,West,PROD-0091,Furniture,Bookcases,5-Shelf Bookcase,1292.33,3,0.0,36.16
CA-2023-000092,2023-07-08,2023-07-11,First Class,CUS-0078,Customer 71,Home Office,Memphis,Tennessee,South,PROD-0092,Furniture,Chairs,Executive Chair,1073.5,3,0.5,130.01
CA-2020-000093,2020-04-26,2020-04-29,Standard Class,CUS-0130,Customer 99,Corporate,Eugene,Oregon,West,PROD-0093,Office Supplies,Labels,Shipping Labels,99.81,5,0.0,20.71
CA-2020-000094,2020-05-06,2020-05-10,Second Class,CUS-0022,Customer 130,Corporate,Tampa,Florida,East,PROD-0094,Technology,Phones,Motorola,2323.64,2,0.3,908.99
CA-2022-000095,2022-01-15,2022-01-18,Second Class,CUS-0014,Customer 162,Home Office,Savannah,Georgia,East,PROD-0095,Office Supplies,Storage,Storage Box,281.91,5,0.3,67.5
CA-2021-000096,2021-08-04,2021-08-07,Same Day,CUS-0170,Customer 37,Home Office,Austin,Texas,Central,PROD-0096,Office Supplies,Art,Markers,1227.03,10,0.3,-72.7
CA-2023-000097,2023-08-10,2023-08-17,Same Day,CUS-0109,Customer 131,Home Office,Buffalo,New York,East,PROD-0097,Technology,Machines,MacBook,9982.4,6,0.0,2226.2
CA-2021-000098,2021-01-28,2021-01-30,Same Day,CUS-0026,Customer 130,Corporate,Chicago,Illinois,Central,PROD-0098,Technology,Phones,OnePlus,1149.36,3,0.2,370.34
CA-2021-000099,2021-01-05,2021-01-12,Second Class,CUS-0012,Customer 106,Consumer,Springfield,Illinois,Central,PROD-0099,Office Supplies,Fasteners,Stapler,1627.64,10,0.0,424.15
CA-2021-000100,2021-09-25,2021-10-02,Second Class,CUS-0147,Customer 113,Home Office,Detroit,Michigan,Central,PROD-0100,Technology,Accessories,Webcam,13155.51,8,0.1,1104.02
CA-2021-000101,2021-05-27,2021-05-28,Second Class,CUS-0133,Customer 32,Home Office,Jackson,Mississippi,South,PROD-0101,Technology,Machines,MacBook,14187.28,8,0.0,3627.69
CA-2021-000102,2021-03-30,2021-04-06,Standard Class,CUS-0102,Customer 129,Corporate,Detroit,Michigan,Central,PROD-0102,Technology,Phones,iPhone 14,14338.67,8,0.0,1540.67
CA-2020-000103,2020-07-21,2020-07-28,First Class,CUS-0121,Customer 179,Consumer,Portland,Oregon,West,PROD-0103,Technology,Accessories,Webcam,9746.91,6,0.0,-788.02
CA-2020-000104,2020-11-02,2020-11-07,Second Class,CUS-0061,Customer 78,Corporate,Los Angeles,California,West,PROD-0104,Furniture,Furnishings,Clock,8388.8,10,0.0,2416.7
CA-2023-000105,2023-05-07,2023-05-12,Same Day,CUS-0075,Customer 110,Consumer,Nashville,Tennessee,South,PROD-0105,Furniture,Chairs,Executive Chair,886.26,1,0.1,229.78
CA-2020-000106,2020-05-18,2020-05-23,First Class,CUS-0121,Customer 12,Home Office,Jackson,Mississippi,South,PROD-0106,Furniture,Bookcases,5-Shelf Bookcase,7292.33,9,0.0,694.43
CA-2021-000107,2021-05-08,2021-05-14,First Class,CUS-0091,Customer 140,Consumer,Dallas,Texas,Central,PROD-0107,Office Supplies,Binders,Presentation Binder,217.62,2,0.3,-7.25
CA-2020-000108,2020-03-16,2020-03-19,Same Day,CUS-0081,Customer 80,Consumer,Jackson,Mississippi,South,PROD-0108,Technology,Accessories,Webcam,1003.86,4,0.1,344.22
CA-2021-000109,2021-08-08,2021-08-11,Second Class,CUS-0095,Customer 112,Home Office,New Orleans,Louisiana,South,PROD-0109,Office Supplies,Binders,Report Cover,121.68,1,0.3,4.45
CA-2022-000110,2022-01-22,2022-01-29,Same Day,CUS-0021,Customer 111,Home Office,Springfield,Illinois,Central,PROD-0110,Technology,Copiers,HP Printer,6120.88,9,0.0,1613.1
CA-2023-000111,2023-09-15,2023-09-18,First Class,CUS-0114,Customer 90,Consumer,Columbus,Ohio,Central,PROD-0111,Office Supplies,Storage,Drawer Organizer,275.86,5,0.4,-4.6
CA-2022-000112,2022-01-14,2022-01-19,Same Day,CUS-0174,Customer 113,Consumer,New Orleans,Louisiana,South,PROD-0112,Technology,Phones,OnePlus,5745.06,3,0.0,1863.32
CA-2023-000113,2023-05-24,2023-05-26,Standard Class,CUS-0020,Customer 147,Corporate,Orlando,Florida,East,PROD-0113,Furniture,Tables,Conference Table,7998.78,8,0.3,975.61
CA-2021-000114,2021-01-16,2021-01-20,Standard Class,CUS-0067,Customer 181,Consumer,Columbus,Ohio,Central,PROD-0114,Furniture,Bookcases,3-Shelf Bookcase,5776.04,9,0.0,178.41
CA-2022-000115,2022-07-14,2022-07-16,Standard Class,CUS-0182,Customer 17,Consumer,Jackson,Mississippi,South,PROD-0115,Technology,Accessories,Headphones,11172.41,8,0.3,2613.45
CA-2020-000116,2020-09-05,2020-09-07,Second Class,CUS-0142,Customer 147,Corporate,Chicago,Illinois,Central,PROD-0116,Office Supplies,Paper,Graph Paper,76.75,3,0.5,-6.67
CA-2022-000117,2022-09-07,2022-09-12,Same Day,CUS-0082,Customer 165,Corporate,New York City,New York,East,PROD-0117,Technology,Copiers,Xerox Machine,11091.47,7,0.0,-414.12
CA-2022-000118,2022-10-26,2022-11-02,Same Day,CUS-0042,Customer 83,Consumer,Chicago,Illinois,Central,PROD-0118,Furniture,Furnishings,Clock,1263.95,1,0.0,65.8
CA-2020-000119,2020-09-13,2020-09-19,First Class,CUS-0044,Customer 152,Consumer,Dallas,Texas,Central,PROD-0119,Office Supplies,Storage,Filing Cabinet,624.07,5,0.0,94.41
CA-2023-000120,2023-08-06,2023-08-13,Standard Class,CUS-0107,Customer 159,Consumer,Houston,Texas,Central,PROD-0120,Office Supplies,Storage,Storage Box,509.47,10,0.1,144.42
CA-2021-000121,2021-09-01,2021-09-05,Same Day,CUS-0124,Customer 119,Consumer,Cleveland,Ohio,Central,PROD-0121,Office Supplies,Labels,Shipping Labels,278.56,2,0.0,33.37
CA-2022-000122,2022-03-27,2022-03-29,First Class,CUS-0120,Customer 32,Corporate,Tampa,Florida,East,PROD-0122,Furniture,Bookcases,Corner Bookcase,4925.83,6,0.0,293.37
CA-2023-000123,2023-06-14,2023-06-18,Same Day,CUS-0148,Customer 185,Corporate,New York City,New York,East,PROD-0123,Technology,Copiers,Canon Copier,7731.34,4,0.0,2371.5
CA-2020-000124,2020-02-17,2020-02-18,Same Day,CUS-0091,Customer 13,Corporate,Memphis,Tennessee,South,PROD-0124,Technology,Accessories,Keyboard,6991.74,7,0.1,52.94
CA-2020-000125,2020-10-01,2020-10-04,Same Day,CUS-0014,Customer 146,Consumer,New Orleans,Louisiana,South,PROD-0125,Furniture,Bookcases,3-Shelf Bookcase,4911.48,6,0.3,-380.04
CA-2023-000126,2023-01-31,2023-02-03,Same Day,CUS-0025,Customer 101,Home Office,Dallas,Texas,Central,PROD-0126,Office Supplies,Storage,Filing Cabinet,1376.78,10,0.0,-49.11
CA-2020-000127,2020-04-02,2020-04-03,Standard Class,CUS-0039,Customer 156,Home Office,Pittsburgh,Pennsylvania,East,PROD-0127,Technology,Machines,Lenovo ThinkPad,2226.7,3,0.5,355.53
CA-2023-000128,2023-04-30,2023-05-03,First Class,CUS-0077,Customer 122,Home Office,Springfield,Illinois,Central,PROD-0128,Office Supplies,Storage,Filing Cabinet,749.32,9,0.5,190.6
CA-2023-000129,2023-05-07,2023-05-11,Standard Class,CUS-0150,Customer 123,Home Office,Reno,Nevada,West,PROD-0129,Furniture,Bookcases,3-Shelf Bookcase,6542.55,5,0.1,1705.64
CA-2021-000130,2021-01-25,2021-01-26,Standard Class,CUS-0053,Customer 106,Home Office,Albany,New York,East,PROD-0130,Furniture,Furnishings,Curtains,4313.36,8,0.0,459.29
CA-2023-000131,2023-09-18,2023-09-22,First Class,CUS-0137,Customer 88,Home Office,Seattle,Washington,West,PROD-0131,Office Supplies,Paper,Notepad,706.33,9,0.0,91.7
CA-2021-000132,2021-04-05,2021-04-08,First Class,CUS-0090,Customer 144,Corporate,Jackson,Mississippi,South,PROD-0132,Office Supplies,Art,Paint Set,356.14,5,0.5,20.84
CA-2021-000133,2021-08-17,2021-08-18,Second Class,CUS-0114,Customer 168,Corporate,Reno,Nevada,West,PROD-0133,Office Supplies,Art,Paint Set,956.43,5,0.0,69.99
CA-2020-000134,2020-10-08,2020-10-09,First Class,CUS-0172,Customer 136,Home Office,Tampa,Florida,East,PROD-0134,Technology,Copiers,Canon Copier,13802.43,10,0.1,293.01
CA-2020-000135,2020-07-24,2020-07-30,Same Day,CUS-0122,Customer 123,Home Office,Reno,Nevada,West,PROD-0135,Furniture,Tables,Conference Table,321.76,3,0.0,33.29
CA-2022-000136,2022-12-31,2023-01-06,Second Class,CUS-0046,Customer 10,Consumer,Columbus,Ohio,Central,PROD-0136,Office Supplies,Storage,Filing Cabinet,183.08,1,0.0,19.95
CA-2021-000137,2021-11-17,2021-11-20,Standard Class,CUS-0035,Customer 130,Corporate,Houston,Texas,Central,PROD-0137,Technology,Copiers,Canon Copier,7921.52,8,0.5,2729.99
CA-2023-000138,2023-08-20,2023-08-23,Same Day,CUS-0146,Customer 173,Home Office,Portland,Oregon,West,PROD-0138,Technology,Machines,Dell Desktop,473.24,3,0.3,139.79
CA-2021-000139,2021-01-13,2021-01-15,Standard Class,CUS-0099,Customer 61,Corporate,New Orleans,Louisiana,South,PROD-0139,Furniture,Tables,Side Table,3981.9,8,0.1,-384.59
CA-2023-000140,2023-11-19,2023-11-21,First Class,CUS-0104,Customer 176,Home Office,Dallas,Texas,Central,PROD-0140,Technology,Machines,Lenovo ThinkPad,701.01,1,0.5,37.44
CA-2021-000141,2021-03-24,2021-03-26,Second Class,CUS-0141,Customer 121,Home Office,Eugene,Oregon,West,PROD-0141,Office Supplies,Fasteners,Binder Clips,195.28,8,0.3,21.08
CA-2020-000142,2020-06-08,2020-06-13,First Class,CUS-0039,Customer 43,Corporate,Albany,New York,East,PROD-0142,Office Supplies,Fasteners,Paper Clips,30.68,2,0.1,5.72
